Film,Genre,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year
GNOMEO AND JULIET,ANIMATION,DISNEY,52,5.387972222,56,$193.97 ,2011
GHOSTS OF GIRLFRIENDS PAST,COMEDY,WARNER BROS.,47,2.0444,27,$102.22 ,2009
FOUR CHRISTMASES,COMEDY,WARNER BROS.,52,2.022925,26,$161.83 ,2008
FIREPROOF,DRAMA,INDEPENDENT,51,66.934,40,$33.47 ,2008
ENCHANTED,COMEDY,DISNEY,80,4.005737082,93,$340.49 ,2007
DEAR JOHN,DRAMA,SONY,66,4.5988,29,$114.97 ,2010
BEGINNERS,COMEDY,INDEPENDENT,80,4.471875,84,$14.31 ,2011
ACROSS THE UNIVERSE,ROMANCE,INDEPENDENT,84,0.652603178,54,$29.37 ,2007
A SERIOUS MAN,DRAMA,UNIVERSAL,64,4.382857143,89,$30.68 ,2009
A DANGEROUS METHOD,DRAMA,INDEPENDENT,89,0.44864475,79,$8.97 ,2011
27 DRESSES,COMEDY,FOX,71,5.3436218,40,$160.31 ,2008
(500) DAYS OF SUMMER,COMEDY,FOX,81,8.096,87,$60.72 ,2009
